Number,Gender,Age,Income
1,Male,41,40367
2,Male,54,45084
3,Male,42,52483
4,Male,40,40941
5,Male,46,50289
6,Female,36,50786
7,Female,32,33155
8,Male,39,30914
9,Male,51,68667
10,Female,30,50082
11,Female,48,41524
12,Male,47,54777
13,Male,46,62749
14,Female,42,50894
15,Female,61,38429
16,Male,43,34074
17,Male,27,50398
18,Male,38,46373
19,Male,47,51137
20,Female,35,23688
21,Male,57,17378
22,Male,33,45919
23,Female,33,23001
24,Female,27,34292
25,Male,58,55190
26,Male,64,26169
27,Male,58,57322
28,Male,44,61704
29,Male,34,53619
30,Male,45,47421
31,Female,44,40353
32,Male,39,28125
33,Female,55,42630
34,Male,27,56645
35,Female,63,41946
36,Male,41,50312
37,Male,64,47872
38,Female,41,29538
39,Female,61,39881
40,Female,59,48518
41,Female,26,16168
42,Male,41,68522
43,Female,47,50750
44,Female,58,49614
45,Male,33,56169
46,Female,30,40661
47,Male,51,53730
48,Female,45,34613
49,Female,38,35249
50,Female,56,52218
51,Female,55,47702
52,Male,42,62512
53,Female,58,48655
54,Male,57,55133
55,Male,32,39309
56,Female,55,41036
57,Male,62,60594
58,Female,43,46373
59,Male,35,53303
60,Female,31,42281
61,Female,46,48268
62,Male,49,36223
63,Female,54,36552
64,Female,63,36222
65,Female,58,53333
66,Female,53,40244
67,Male,61,53713
68,Male,44,42823
69,Male,51,44030
70,Female,44,25604
71,Female,38,31953
72,Female,57,46137
73,Male,44,50089
74,Male,27,53213
75,Female,41,27897
76,Male,43,26997
77,Male,46,29374
78,Male,55,44003
79,Male,53,58625
80,Female,43,52935
81,Male,46,60637
82,Male,46,27092
83,Male,43,49741
84,Female,51,31416
85,Female,40,46882
86,Female,34,33246
87,Female,58,32567
88,Male,29,49798
89,Male,28,38119
90,Female,30,27446
91,Male,28,54937
92,Female,25,34653
93,Male,37,63495
94,Female,62,38385
95,Male,45,40789
96,Male,48,62287
97,Female,30,47982
98,Male,44,47860
99,Male,62,49231
100,Female,48,42252
101,Male,46,68275
102,Male,48,48433
103,Male,61,42379
104,Male,63,44965
105,Female,56,40122
106,Male,63,48512
107,Female,48,47466
108,Male,47,30382
109,Female,38,46733
110,Female,64,40960
111,Male,46,39085
112,Female,59,49691
113,Male,39,53649
114,Male,38,37010
115,Male,58,46788
116,Male,59,61700
117,Male,48,58460
118,Female,31,19155
119,Female,54,56868
120,Male,46,46954
121,Male,43,64376
122,Male,38,35911
123,Female,28,48836
124,Male,62,62174
125,Female,62,46385
126,Female,32,52215
127,Male,45,36702
128,Female,31,36979
129,Male,37,58357
130,Male,44,59426
131,Female,59,48994
132,Male,37,61390
133,Female,35,49629
134,Female,65,33676
135,Female,40,45797
136,Male,59,45130
137,Male,56,43573
138,Female,56,57028
139,Male,53,68679
140,Male,45,51435
141,Male,60,48559
142,Female,53,38692
143,Female,37,46382
144,Female,40,48550
145,Female,56,59945
146,Female,28,51127
147,Male,42,26301
148,Male,60,50057
149,Female,58,31472
